product_code,Image,Image 2,Sale %,MRP,Price after Sale %,Stock at Maxims,Stock at OGF,Stock at CNM,Action,,,,
LN 197,,,70%,12900,3870,759,0,31,To Clear,,,,
LN 211,,,50%,6900,3450,153,0,20,To Clear,,,,"$20,050,000.00"
LN 212,,,70%,14900,4470,145,15,22,To Clear,,,,
LN 232,,,70%,7990,2397,78,0,0,To Clear,,,,
LN 244,,,70%,6990,2097,57,0,0,To Clear,,,,
LN 194,,,70%,14900,4470,17,0,0,To Clear,,,,
LN 217,,,50%,5900,2950,15,0,27,To Clear,,,,
LN 226,,,70%,14900,4470,15,5,9,To Clear,,,,
LN 185,,,70%,,0,12,0,0,To Clear,,,,
LN 259,,,50%,7990,3995,10,13,0,To Clear,,,,
LN 191,,,70%,14900,4470,8,1,0,To Clear,,,,
LN 158,,,60%,6900,2760,7,0,0,To Clear,,,,
LN 266,,,70%,8990,2697,5,8,0,To Clear,,,,
LN157,,,70%,8900,2670,0,0,,To Clear,,,,
LN 159,,,70%,3900,1170,0,0,0,To Clear,,,,
LN 162,,,70%,7900,2370,0,0,0,To Clear,,,,
LN163,,,70%,7900,2370,43,0,15,To Clear,,,,
LN195,,,70%,16900,5070,18,0,0,To Clear,,,,
LN 229,,Plain OS Tee,50%,5990,2995,262,,,,,,,
LN 148,,,70%,7990,2397,187,,,,,,,
LN 113,,,70%,,0,161,,,,,,,
LN 211,,,70%,,0,153,,,,,,,
LN 225,,,70%,6500,1950,108,,,,,,,
LN 230,,,70%,,0,107,,,,,,,
LN 120,,,70%,,0,96,,,,,,,
LN 156,,,70%,,0,50,,,,,,,
LN 187,,,70%,,0,47,,,,,,,
,,,,,0,,,,,,,,